sigma,sigma_index,realization,h0_bottleneck,h0_total_persistence_absent,h0_total_persistence_present,h0_total_persistence_delta,h0_max_persistence_absent,h0_max_persistence_present,h0_max_persistence_delta,h0_persistence_entropy_absent,h0_persistence_entropy_present,h0_persistence_entropy_delta,h0_n_persistent_absent,h0_n_persistent_present,h0_n_persistent_delta,h0_landscape_l2_absent,h0_landscape_l2_present,h0_landscape_l2_delta,h1_bottleneck,h1_total_persistence_absent,h1_total_persistence_present,h1_total_persistence_delta,h1_max_persistence_absent,h1_max_persistence_present,h1_max_persistence_delta,h1_persistence_entropy_absent,h1_persistence_entropy_present,h1_persistence_entropy_delta,h1_n_persistent_absent,h1_n_persistent_present,h1_n_persistent_delta,h1_landscape_l2_absent,h1_landscape_l2_present,h1_landscape_l2_delta
0.2731406075217884,2,3,0.37277226884246667,453.5383977685983,451.61628807658747,-1.9221096920108494,0.9373952534908495,1.0131968544026948,0.07580160091184529,7.238725007425221,7.239087232471211,0.00036222504598981686,1696.0,1695.0,-1.0,2.600389516929734,2.5851363246885226,-0.015253192241211355,0.25782007406528973,853.6878673462801,852.0746825833428,-1.6131847629372942,1.2215646779112763,1.2215646779112763,0.0,7.789313993946948,7.7890975828002,-0.00021641114674775253,2978.0,2978.0,0.0,3.937095413655617,3.926557210821439,-0.010538202834178279
0.2731406075217884,2,4,0.22265457323498009,456.10956701427415,453.6981314856964,-2.4114355285777265,1.0328773132120255,1.0569961912564019,0.0241188780443764,7.251052238925005,7.24858441920742,-0.002467819717584696,1746.0,1744.0,-2.0,2.6437230369198734,2.6411530973648545,-0.0025699395550189408,0.31683841077165575,854.9712062570461,853.1437999333291,-1.827406323717014,1.1707154629494974,1.1707154629494974,0.0,7.785196661484488,7.785144427264681,-5.2234219806379656e-05,2974.0,2973.0,-1.0,3.928733659451495,3.9149752583287696,-0.013758401122725417
0.2731406075217884,2,5,0.2656548420150887,456.9140690061063,454.87807635292796,-2.0359926531783117,1.0227332229476578,1.0227332229476578,0.0,7.2568732943345715,7.254854332819318,-0.0020189615152537144,1743.0,1741.0,-2.0,2.6032208440358686,2.5991830214170784,-0.0040378226187902655,0.30080387409002507,854.7439534338738,852.8845924078174,-1.8593610260563764,1.1629257230496943,1.1629257230496943,0.0,7.791169975248669,7.789266551763605,-0.0019034234850643372,2999.0,2991.0,-8.0,3.8697530294678932,3.864129912347023,-0.005623117120870269
0.2731406075217884,2,6,0.3388080448588864,453.556698337786,450.8024559709918,-2.7542423667941875,0.9048133431115725,0.9370159809858221,0.032202637874249596,7.238113244123955,7.235598170222857,-0.002515073901098397,1703.0,1699.0,-4.0,2.611446807019643,2.599056279774154,-0.012390527245488947,0.33841083156099716,846.319464802126,843.9692132147724,-2.3502515873536822,1.0507073188347795,1.0507063527362401,-9.660985393900035e-07,7.787105346263157,7.78615705635718,-0.0009482899059776173,2964.0,2957.0,-7.0,3.8634877457290995,3.8514891995573315,-0.011998546171767988
0.2731406075217884,2,7,0.2602716163306835,448.14013690174977,446.1543604705042,-1.985776431245597,0.9694462803140503,1.071658565169996,0.10221228485594558,7.2234954502889686,7.221153523177227,-0.0023419271117415263,1687.0,1685.0,-2.0,2.632710601720488,2.6304107247093915,-0.002299877011096463,0.3068612926158454,866.5413345506912,865.0774710038186,-1.4638635468726306,1.104248832035145,1.0560516991143145,-0.04819713292083039,7.787033910001056,7.787479097878531,0.0004451878774753837,2962.0,2961.0,-1.0,3.9556926891193425,3.937334015152359,-0.018358673966983652
0.2731406075217884,2,8,0.25927542072431337,461.0304966911536,459.77070479984457,-1.2597918913090211,1.0310647004305444,1.1068706834656508,0.07580598303510633,7.25870664478731,7.256422546170365,-0.0022840986169452293,1726.0,1722.0,-4.0,2.6353055891807906,2.6394515491987893,0.004145960017998718,0.30378464801510185,839.6031705787452,837.5626878375608,-2.0404827411844053,1.211188711184237,1.211188711184237,0.0,7.775975710548993,7.775855652848534,-0.00012005770045853126,2947.0,2950.0,3.0,3.8564124575241236,3.847496504252336,-0.008915953271787735
0.2731406075217884,2,9,0.29306077251374135,451.07862400560833,448.29871763458243,-2.779906371025902,0.9894522964347593,1.0762760027421172,0.08682370630735792,7.241710208559458,7.238155246056921,-0.0035549625025366183,1714.0,1709.0,-5.0,2.6061273626854784,2.605340679947953,-0.0007866827375253571,0.3459310599583788,851.5931218170387,848.4218419820935,-3.171279834945153,1.2853285088504502,1.2853288369331917,3.280827414187115e-07,7.780239961344428,7.779782084229047,-0.0004578771153811445,2955.0,2950.0,-5.0,3.9445275648651683,3.925563302970598,-0.018964261894570456
0.2731406075217884,2,10,0.2338881663300863,457.65002473624884,455.8473024954457,-1.8027222408031207,0.9361139767468648,0.9373934103025046,0.001279433555639753,7.2516661217608815,7.250620765871864,-0.0010453558890173298,1736.0,1733.0,-3.0,2.6195474228676856,2.608115624771493,-0.011431798096192658,0.24664314661674341,861.8951496504734,860.1370663008577,-1.758083349615731,1.2800612912979867,1.2800612912979867,0.0,7.7737632709758095,7.7729093106868845,-0.0008539602889250375,2921.0,2920.0,-1.0,3.9958173204542513,3.9861100176268773,-0.009707302827373976
0.2731406075217884,2,11,0.19574759956052992,459.77378629572644,457.0567054322547,-2.717080863471722,1.0250081375550202,1.0250081375550202,0.0,7.239644409263221,7.237901381045933,-0.0017430282172874456,1718.0,1716.0,-2.0,2.693380015729632,2.678334425519519,-0.01504559021011298,0.29087043864068085,859.223740109261,856.3625565069408,-2.8611836023202386,1.1235043569150693,1.1266004062698285,0.003096049354759156,7.801941680146859,7.801224814016667,-0.000716866130192173,3020.0,3012.0,-8.0,3.893234483509592,3.8737869286305693,-0.01944755487902272
0.2731406075217884,2,12,0.2591540000722534,462.64713628043904,460.0861879496682,-2.5609483307708274,1.015467472673477,1.0158298973261486,0.0003624246526716668,7.253018865100916,7.252747182925956,-0.0002716821749597642,1724.0,1725.0,1.0,2.6568582636078033,2.645786444903753,-0.011071818704050163,0.31655629756261894,865.4537928359711,863.697375089886,-1.7564177460850487,1.1069142140879988,1.1069142140780144,-9.984457705058958e-12,7.786422090019874,7.785512295841578,-0.000909794178296508,2960.0,2957.0,-3.0,3.966114796436504,3.9601856520432945,-0.005929144393209462
