matrix_size,lesion_sigma_px,sigma,n_pairs,dprime_analytic,h0_bottleneck_normalized,h0_bottleneck_normalized_se,h1_bottleneck_normalized,h1_bottleneck_normalized_se
128,3.0,4.0,64,1.329340388179137,0.07698079966205083,0.0036687350937487464,0.082256790104955,0.0033331508418827827
128,3.0,5.0,64,1.0634723105433097,0.07635435913876301,0.004143726710789119,0.07739378141455788,0.0033473711263463687
128,3.0,6.5,16,0.8180556234948535,0.067730295051864,0.004918409823891989,0.07259966521452985,0.006201898740829668
128,3.0,8.0,16,0.6646701940895685,0.06460565738305163,0.004803242137427562,0.06813556684353586,0.004375762641096104
128,3.0,12.0,16,0.443113462726379,0.04805551511320058,0.0029348400517110766,0.05045075749047215,0.0023878910959316342
128,3.0,20.0,16,0.2658680776358274,0.036638515453316284,0.0014107237869210323,0.04008626907991282,0.0017044294819258266
128,5.0,0.25,16,35.44907701811032,0.9358265269541138,0.073408552774102,1.0877670689884864,0.034730663616278086
128,5.0,0.35,16,25.320769298650234,0.9705164429569022,0.049553771508432126,0.9278477885848645,0.04960006495983947
128,5.0,0.5,64,17.72453850905516,0.8031896074659921,0.02383849646902612,0.6388454107295407,0.0232654172166058
128,5.0,0.65,64,13.634260391580893,0.6256531948309851,0.019380794166661098,0.4580146158844952,0.02019595800326012
128,5.0,0.8,64,11.077836568159475,0.4646551991805082,0.018699779057158368,0.3752144950112164,0.0191664474866133
128,5.0,1.0,64,8.86226925452758,0.3678451641790157,0.02165073925126354,0.27524916397970445,0.01214654192319344
128,5.0,1.25,64,7.089815403622064,0.2776922720426674,0.017724899896340216,0.23516575746194165,0.014783111323372787
128,5.0,1.6,64,5.538918284079737,0.22373558386590608,0.012458456474925085,0.17952660067272685,0.008946879986112233
128,5.0,2.0,64,4.43113462726379,0.17598941035282256,0.010739130344453772,0.15215945016146917,0.00657901065009043
128,5.0,2.5,64,3.544907701811032,0.15042325446712607,0.008152545621497672,0.14344452702135732,0.007101855666221618
